Size (lbs),Date,Location,,Time
5.5,"May 15, 2024",Barton Springs Car Wash,,1:39 PM
14.66,"May 15, 2024",Juliet Italian Kitchen,,1:54 PM
4.98,"May 15, 2024",Austin Collective Dispensary,,2:28 PM
12.58,"May 15, 2024",Lou's Barton Springs,,2:15 PM
7.72,"May 15, 2024",Cannone Gelato,,2:36 PM
7.18,"May 15, 2024",Baby Acapulco's,,2:45 PM
22.46,"May 17, 2024",Barton Springs Car Wash,,2:35 PM
9.44,"May 17, 2024",Juiceland,,3:42 PM
16.36,"May 17, 2024",Cannone Gelato,,3:55 PM
9.08,"May 19, 2024",Cannone Gelato,,12:22 PM
4.8,"May 19, 2024",Baby Acapulco's,,12:28 PM
13.36,"May 19, 2024",Austin Collective Dispensary,,12:35 PM
6.7,"May 19, 2024",Barton Springs Bike Rental,,12:41 PM
11.56,"May 19, 2024",Lou's Barton Springs,,1:50 PM
5.04,"May 19, 2024",Pav Bhaji Express,,1.57 PM
10.06,"May 19, 2024",Juliet Italian Kitchen,,2:03 PM
19,"May 19, 2024",Barton Springs Car Wash,,2:31 PM
14.46,"May 19, 2024",That Food Truck,,2:36 PM
8.92,"May 20, 2024",Cannone Gelato,,3:51 PM
5.86,"May 21, 2024",Green Mesquite BBQ,,3:10 PM
13.42,"May 21, 2024",That Food Truck,,2.59 PM
8.78,"May 22, 2024",Austin Collective Dispensary,,6:59 PM
6.28,"May 22, 2024",Pav Bhaji Express,,7:19 PM
8.78,"May 24, 2024",Cannone Gelato,,12:49 PM
7.3,"May 24, 2024",Baby Acapulco's,,1:00 PM
10.82,"May 24, 2024",Lou's Barton Springs,,1:12 PM
5.8,"May 24, 2024",Barton Springs Car Wash,,1:51 PM
19.34,"May 24, 2024",That Food Truck,,2:16 PM
5.9,"May 26, 2024",Green Mesquite BBQ,,8:17 AM
17.64,"May 26, 2024",Juliet Italian Kitchen,,8:23 AM
11.22,"May 26, 2024",Barton Brisk Corner Chevron,,8:30 AM
16.04,"June 5, 2024",Green Mesquite BBQ,,2:27 PM
14.4,"June 5, 2024",Barton Springs Car Wash,,2:36 PM
21.64,"June 5, 2024",That Food Truck,,2:44 PM
18.68,"June 5, 2024",Juliet Italian Kitchen,,3:00 PM
12.38,"June 5, 2024",Pav Bhaji Express,,3:07 PM
12.04,"June 5, 2024",Baby Acapulco's,,3:22 PM
10.22,"June 5, 2024",Barton Springs Bike Rental,,3:35 PM
4.76,"June 5, 2024",Juiceland,,4:05 PM
8.66,"June 7, 2024",Cannone Gelato,,4:46 PM
6.36,"June 7, 2024",Barton Springs Car Wash,,5:01 PM
8.76,"June 7, 2024",That Food Truck,,5:06 PM
21.5,"June 7, 2024",Lou's Barton Springs,,5:06 PM
8.42,"June 10, 2024",Barton Springs Bike Rental,,2:48 PM
5.57,"June 10, 2024",Baby Acapulco's,,2:56 PM
6.36,"June 10, 2024",Juiceland,,3:08 PM
6.64,"June 10, 2024",Lou's Barton Springs,,3:14 PM
8.2,"June 10, 2024",Juliet Italian Kitchen,,3:22 PM
15.36,"June 12, 2024",Austin Collective Dispensary,,1:21 PM
4.8,"June 12, 2024",Baby Acapulco's,,1:27 PM
10,"June 12, 2024",That Food Truck,,1:59 PM
6.92,"June 12, 2024",Juliet Italian Kitchen,,4:30 PM
6.3,"June 12, 2024",Lou's Barton Springs,,4:33 PM
16.58,"June 13, 2024",Cannone Gelato,,8:01 PM
2.94,"June 13, 2024",Barton Springs Bike Rental,,8:09 PM
5.4,"June 13, 2024",Austin Collective Dispensary,,8:13 PM
2.68,"June 13, 2024",Juiceland,,8:19 PM
12.02,"June 13, 2024",Lou's Barton Springs,,8:25 PM
6.92,"June 13, 2024",Baby Acapulco's,,8:31 PM
7.08,"June 13, 2024",Juliet Italian Kitchen,,8:42 PM
3.96,"June 13, 2024",Barton Springs Car Wash,,8:50 PM
11.52,"June 13, 2024",That Food Truck,,8:55 PM
11.26,"June 15, 2024",Cannone Gelato,,2:58 PM
9.46,"June 15, 2024",Barton Brisk Corner Chevron,,3:13 PM
5.24,"June 15, 2024",That Food Truck,,6:48 PM
4.34,"June 16, 2024",Juiceland,,2:39 PM
4.04,"June 16, 2024",Lou's Barton Springs,,2:44 PM
3.44,"June 16, 2024",Pav Bhaji Express,,2:59 PM
5.02,"June 16, 2024",Cannone Gelato,,3:08 PM
13.26,"June 17, 2024",Austin Collective Dispensary,,7:05 PM
8.04,"June 17, 2024",Barton Brisk Corner Chevron,,7:10 PM
7.06,"June 17, 2024",Juliet Italian Kitchen,,7:22 PM
5.22,"June 17, 2024",Green Mesquite BBQ,,7:27 PM
6.12,"June 17, 2024",That Food Truck,,7:35 PM
3.04,"June 17, 2024",Baby Acapulco's,,7:51 PM
30.32,"June 20, 2024",Cannone Gelato,,12:58 PM
8.24,"June 20, 2024",Barton Brisk Corner Chevron,,1:20 PM
4.52,"June 20, 2024",Juliet Italian Kitchen,,1:27 PM
5.66,"June 20, 2024",That Food Truck,,1:40 PM
3.32,"June 20, 2024",Lou's Barton Springs,,1:54 PM
7.58,"June 22, 2024",Cannone Gelato,,9:23 AM
3.42,"June 22, 2024",Baby Acapulco's,,9:29 AM
3.46,"June 22, 2024",Austin Collective Dispensary,,9:33 AM
10.74,"June 22, 2024",Barton Brisk Corner Chevron,,10:27 AM
2.3,"June 22, 2024",Green Mesquite BBQ,,10:36 AM
9.36,"June 24, 2024",Austin Collective Dispensary,,7:49 AM
7.28,"June 24, 2024",Barton Springs Car Wash,,7:59 AM
17.42,"June 24, 2024",That Food Truck,,8:05 AM
6.76,"June 24, 2024",Juliet Italian Kitchen,,8:16 AM
5.58,"June 24, 2024",Lou's Barton Springs,,8:23 AM
4.28,"June 24, 2024",Baby Acapulco's,,8:32 AM
5.42,"June 25, 2024",Green Mesquite BBQ,,7:08 PM
7.56,"June 25, 2024",Barton Brisk Corner Chevron,,7:23 PM
3.44,"June 25, 2024",Juiceland,,7:29 PM
2.36,"June 26, 2024",Austin Collective Dispensary,,5:44 PM
2.22,"June 26, 2024",Green Mesquite BBQ,,5:59 PM
1.36,"June 26, 2024",Barton Springs Car Wash,,6:05 PM
14.64,"June 26, 2024",That Food Truck,,6:11 PM
3.86,"June 27, 2024",That Food Truck,,8:04 AM
3.1,"June 28, 2024",Baby Acapulco's,,8:34 AM
